soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Laterite,43.4,36.3,63.0,8.67,2.05,2.17,73.1,Moderate
Desert,11.3,38.9,53.7,4.77,1.25,3.4,67.9,Moderate
Alluvial,55.2,55.7,87.5,3.57,0.96,2.45,77.6,Healthy
Desert,144.7,55.8,103.6,4.98,0.85,2.93,66.5,Moderate
Alluvial,44.5,117.9,108.2,5.38,1.01,2.36,68.2,Moderate
Red,83.7,26.1,51.7,7.5,2.13,3.6,86.1,Healthy
Black,98.1,43.8,71.2,8.06,2.14,3.13,83.1,Healthy
Desert,60.2,110.4,76.3,5.32,2.49,0.25,80.4,Healthy
Desert,77.2,83.3,145.9,5.56,2.86,0.49,75.1,Healthy
Red,39.0,27.1,141.0,8.77,0.7,3.43,58.3,Moderate
Black,76.8,48.9,42.4,5.0,1.37,2.7,89.9,Healthy
Laterite,56.6,65.5,112.8,4.44,2.1,2.58,75.5,Healthy
Red,131.6,117.3,12.9,5.14,0.31,1.87,54.8,Moderate
Laterite,148.6,65.9,124.3,8.95,1.4,1.08,61.7,Moderate
Black,15.6,137.4,105.4,8.92,1.35,2.56,43.3,Poor
Alluvial,90.5,85.2,27.2,8.11,0.7,3.61,71.1,Moderate
Red,21.0,21.5,12.6,6.5,0.7,1.14,68.4,Moderate
Laterite,1.6,99.8,95.5,5.71,1.95,3.03,58.5,Moderate
Black,14.4,19.6,97.7,4.29,1.84,2.02,64.6,Moderate
Mountain,114.5,74.4,199.2,4.87,2.27,3.21,62.5,Moderate
Alluvial,103.2,92.1,208.1,8.65,2.2,3.18,53.2,Moderate
Black,104.3,4.7,156.5,4.21,2.66,2.53,50.0,Moderate
Mountain,132.8,68.9,61.6,7.22,0.11,2.5,73.2,Moderate
Laterite,48.9,5.0,23.3,4.33,2.8,3.45,40.3,Poor
Desert,45.9,140.9,51.2,4.45,1.43,3.8,57.7,Moderate
Alluvial,48.9,84.3,18.1,6.19,0.95,1.52,80.2,Healthy
Alluvial,108.4,109.0,199.0,7.23,1.8,1.21,75.4,Healthy
Desert,2.1,21.3,197.6,4.06,1.34,1.27,47.0,Poor
Black,63.5,42.0,18.9,7.84,1.08,2.6,81.5,Healthy
Desert,121.6,61.3,198.0,5.68,0.94,1.04,82.3,Healthy
Laterite,129.1,58.9,191.3,6.29,0.87,0.82,79.8,Healthy
Mountain,51.5,98.4,207.2,5.81,1.05,2.08,64.7,Moderate
Desert,40.6,140.6,67.2,4.76,2.45,3.42,56.7,Moderate
Black,141.0,10.6,113.1,5.62,2.36,1.93,60.8,Moderate
Black,50.0,136.6,51.2,5.16,2.6,0.81,69.3,Moderate
Black,139.4,44.9,195.4,6.01,1.72,0.61,74.3,Moderate
Red,38.9,39.0,10.9,7.11,1.07,2.51,71.7,Moderate
Red,147.7,27.5,4.7,5.83,2.86,0.92,46.3,Poor
Alluvial,117.3,67.2,105.2,6.44,1.15,2.13,100.0,Healthy
Mountain,55.1,9.8,163.3,4.36,1.49,2.95,57.2,Moderate
Mountain,58.2,144.3,3.0,6.34,2.2,3.35,50.3,Moderate
Black,120.1,88.8,43.2,7.04,1.97,2.02,90.9,Healthy
Laterite,113.9,75.4,51.0,8.66,0.77,1.09,78.4,Healthy
Red,0.9,7.8,21.4,6.25,0.6,0.03,50.3,Moderate
Mountain,76.1,39.2,149.6,7.3,0.12,2.35,75.5,Healthy
Black,48.2,53.7,91.6,4.73,2.78,3.48,67.0,Moderate
Black,116.6,63.9,60.0,8.58,1.31,0.28,92.3,Healthy
Desert,69.4,39.3,14.1,8.26,1.16,2.48,75.9,Healthy
Desert,11.8,118.2,182.4,6.66,1.87,3.94,50.5,Moderate
Black,19.0,123.3,137.9,5.08,0.68,1.41,58.8,Moderate
Mountain,113.4,89.5,45.9,6.85,0.44,3.42,75.5,Healthy
Desert,76.6,120.3,23.8,7.29,1.57,3.82,69.0,Moderate
Mountain,77.8,15.9,57.0,6.65,0.95,2.7,87.7,Healthy
Black,49.9,39.7,119.6,8.89,0.2,0.97,60.7,Moderate
Laterite,40.2,1.6,108.0,8.39,1.84,1.19,63.6,Moderate
Mountain,4.8,137.8,23.9,8.67,1.15,2.22,41.2,Poor
Laterite,57.4,20.7,206.4,7.51,1.19,1.37,80.3,Healthy
Black,142.2,93.1,12.0,4.42,2.98,1.61,34.1,Poor
Laterite,40.3,27.3,164.6,6.8,0.25,3.03,63.5,Moderate
Alluvial,86.2,4.4,107.0,5.77,1.38,2.77,77.2,Healthy
Red,71.9,128.3,100.5,5.61,1.34,1.94,81.1,Healthy
Black,54.0,135.7,3.6,5.44,1.76,2.21,61.6,Moderate
Black,39.3,70.9,151.5,8.95,1.67,3.68,59.1,Moderate
Mountain,57.0,14.6,174.8,3.94,1.9,2.34,59.7,Moderate
Mountain,102.8,36.1,36.1,5.38,0.82,1.58,88.4,Healthy
Alluvial,10.2,102.3,144.4,5.06,0.65,1.17,61.4,Moderate
Alluvial,63.4,117.5,72.7,6.92,1.37,0.87,92.9,Healthy
Mountain,3.6,122.6,41.5,6.82,1.77,0.66,65.8,Moderate
Desert,72.9,5.3,135.0,3.65,1.23,2.1,63.5,Moderate
Mountain,124.2,71.6,148.3,6.57,2.72,3.95,71.1,Moderate
Red,61.9,3.0,198.0,5.21,2.83,0.99,53.6,Moderate
Laterite,30.5,133.9,208.0,7.47,0.79,2.93,49.4,Poor
Alluvial,137.1,96.8,40.0,4.18,2.79,3.72,42.1,Poor
Desert,43.4,124.9,109.7,6.07,2.3,0.97,75.5,Healthy
Red,68.3,2.9,93.2,8.37,1.58,0.44,76.9,Healthy
Alluvial,20.2,37.5,128.3,5.12,2.5,3.6,61.0,Moderate
Mountain,85.0,26.4,113.7,4.69,1.28,2.95,80.5,Healthy
Laterite,137.4,52.6,94.0,7.57,0.79,1.87,86.1,Healthy
Mountain,0.1,140.4,182.6,6.61,0.2,0.4,37.0,Poor
Desert,100.4,41.0,68.2,7.25,2.45,3.83,87.8,Healthy
Alluvial,109.8,136.4,23.2,8.55,0.12,3.07,50.0,Moderate
Black,68.4,58.2,16.3,7.39,2.23,3.74,77.0,Healthy
Laterite,37.0,56.8,67.1,6.81,0.29,0.08,77.4,Healthy
Laterite,118.3,79.5,194.8,4.82,2.13,0.8,72.0,Moderate
Red,67.0,50.8,99.8,7.97,2.18,1.6,87.1,Healthy
Alluvial,17.5,84.5,33.2,8.35,1.22,3.27,54.0,Moderate
Mountain,13.3,37.2,70.5,4.61,1.5,1.34,75.2,Healthy
Desert,6.8,19.9,200.2,8.76,0.15,3.94,25.5,Poor
Mountain,33.6,74.7,155.9,7.0,1.3,3.57,73.7,Moderate
Black,47.9,121.5,128.4,8.97,1.56,2.2,64.0,Moderate
Laterite,90.6,5.5,99.1,7.85,1.73,2.87,77.3,Healthy
Mountain,62.1,94.2,54.3,4.87,0.51,2.51,72.0,Moderate
Mountain,22.5,57.5,23.0,4.99,0.54,1.75,63.4,Moderate
Red,16.5,11.0,21.1,8.13,2.89,1.21,38.5,Poor
Mountain,62.6,145.1,70.8,6.74,1.08,3.78,69.3,Moderate
Mountain,42.9,41.8,23.7,6.33,2.05,1.65,78.5,Healthy
Desert,36.8,97.4,139.0,5.13,2.26,3.0,59.2,Moderate
Laterite,20.8,95.9,204.7,4.08,0.95,0.16,58.1,Moderate
Laterite,122.6,125.8,181.6,8.06,1.0,3.61,58.8,Moderate
Desert,129.6,64.6,204.0,7.55,1.09,1.88,73.9,Moderate
Laterite,112.4,43.9,139.8,5.64,2.14,0.35,87.1,Healthy
Mountain,137.1,109.1,106.5,7.14,0.82,2.38,70.0,Moderate
Alluvial,115.6,73.3,34.0,7.13,2.1,1.33,88.3,Healthy
Alluvial,129.1,8.7,153.6,6.09,0.89,3.88,64.1,Moderate
Red,104.7,100.9,91.4,6.68,2.87,3.61,68.1,Moderate
Mountain,20.9,117.4,185.8,7.51,0.26,2.0,43.1,Poor
Red,21.7,103.8,198.8,5.18,1.75,0.15,55.5,Moderate
Desert,16.3,4.1,5.9,7.22,0.12,3.38,31.7,Poor
Red,4.1,140.4,158.9,6.68,1.91,3.91,50.9,Moderate
Laterite,14.1,67.7,198.1,7.77,1.65,1.93,58.9,Moderate
Desert,39.1,143.6,129.6,5.5,2.36,3.87,56.2,Moderate
Desert,141.3,79.7,72.5,5.76,0.22,1.16,66.0,Moderate
Black,8.5,9.9,200.3,8.62,0.44,2.99,23.1,Poor
Laterite,51.3,1.9,68.0,8.59,1.44,2.27,62.2,Moderate
Mountain,102.4,4.1,45.4,7.46,1.89,3.17,81.9,Healthy
Red,14.8,10.5,202.5,7.57,1.08,2.54,52.1,Moderate
Black,5.6,131.1,15.8,8.48,0.4,0.93,40.0,Poor
Desert,103.2,137.4,173.4,8.12,0.92,0.03,64.7,Moderate
Red,32.9,72.2,9.3,8.66,1.04,1.28,56.5,Moderate
Red,13.9,14.5,55.5,3.85,1.83,2.4,56.5,Moderate
Red,8.6,138.4,73.4,4.64,1.0,3.55,39.9,Poor
Alluvial,10.5,1.5,6.4,7.41,1.13,0.39,52.9,Moderate
Mountain,92.6,98.8,49.0,6.4,1.78,2.11,86.9,Healthy
Red,17.7,35.2,126.2,3.71,1.42,0.94,66.6,Moderate
Mountain,22.4,11.0,191.9,7.31,2.31,2.27,49.3,Poor
Desert,59.8,48.4,166.6,7.23,1.72,3.06,77.9,Healthy
Mountain,124.4,65.7,82.4,8.71,2.98,0.84,70.0,Moderate
Mountain,119.6,42.1,114.7,7.77,2.75,3.14,77.3,Healthy
Mountain,115.7,18.6,30.4,7.1,1.42,2.84,82.9,Healthy
Laterite,131.9,37.4,7.8,8.38,2.87,1.87,50.6,Moderate
Desert,59.8,10.6,37.9,8.32,0.68,3.49,66.2,Moderate
Alluvial,99.9,128.0,166.6,5.08,0.67,1.47,66.3,Moderate
Alluvial,61.0,5.2,143.8,5.14,2.64,0.41,65.8,Moderate
Desert,137.4,38.0,83.2,8.15,2.41,2.21,69.0,Moderate
Desert,34.2,106.9,163.9,5.86,2.16,1.92,68.8,Moderate
Desert,137.8,99.3,204.2,8.61,0.13,2.0,32.1,Poor
Black,26.1,130.2,184.7,6.16,2.14,2.19,51.3,Moderate
Red,141.9,114.2,9.4,4.32,1.5,3.06,41.5,Poor
Black,69.6,68.9,10.2,4.08,0.22,0.39,61.8,Moderate
Black,81.7,93.9,142.9,4.19,1.86,0.36,72.1,Moderate
Black,80.3,61.9,204.7,7.34,1.72,0.65,80.1,Healthy
Alluvial,130.2,103.3,193.8,6.28,0.58,0.81,65.7,Moderate
Black,86.1,117.1,135.6,6.61,0.24,1.79,74.8,Moderate
Black,11.3,12.7,195.3,6.54,1.24,0.37,57.2,Moderate
Red,32.6,109.0,43.9,4.54,2.56,3.39,53.0,Moderate
Laterite,84.7,146.9,121.0,8.38,1.2,3.42,62.9,Moderate
Desert,108.6,40.7,187.7,7.07,0.2,0.71,70.2,Moderate
Mountain,40.5,132.6,163.2,3.57,2.82,0.41,45.1,Poor
Black,82.1,15.3,202.4,3.77,1.57,3.94,52.5,Moderate
Black,73.5,18.2,39.9,6.1,1.05,0.95,100.0,Healthy
Mountain,145.0,35.4,100.8,4.45,2.11,4.0,56.8,Moderate
Laterite,108.6,42.5,88.0,6.94,0.7,0.23,100.0,Healthy
Black,128.5,10.8,86.0,6.24,1.01,0.04,82.0,Healthy
Alluvial,22.8,109.1,87.5,7.37,2.21,3.95,64.8,Moderate
Laterite,16.2,32.6,117.1,4.81,1.39,3.64,64.2,Moderate
Alluvial,51.5,91.8,126.9,6.09,2.61,2.52,75.8,Healthy
Desert,34.4,22.4,136.4,6.98,0.17,0.8,71.0,Moderate
Desert,32.2,88.4,171.3,4.8,1.36,2.54,57.8,Moderate
Laterite,51.2,3.6,186.6,8.09,2.47,0.45,54.7,Moderate
Desert,147.9,117.4,13.8,7.32,2.76,1.75,44.7,Poor
Black,20.8,9.8,143.1,7.98,1.37,3.39,61.0,Moderate
Desert,57.1,125.0,135.6,8.14,2.57,3.88,60.7,Moderate
Mountain,116.2,66.7,170.2,7.77,1.71,2.02,85.4,Healthy
Alluvial,58.7,101.5,131.3,8.93,1.21,1.01,70.7,Moderate
Laterite,130.4,146.5,15.6,6.43,0.39,1.66,54.8,Moderate
Red,14.3,141.2,62.7,3.51,2.06,0.33,48.9,Poor
Laterite,99.5,71.5,20.3,5.41,0.46,0.07,80.1,Healthy
Black,50.9,16.0,64.8,4.83,0.41,0.57,76.3,Healthy
Black,61.8,10.7,36.6,6.65,2.74,1.42,73.7,Moderate
Laterite,46.2,6.5,29.8,6.13,2.18,0.48,73.4,Moderate
Red,34.0,112.8,82.2,4.68,2.13,0.71,67.3,Moderate
Laterite,45.4,58.4,70.5,8.99,1.58,1.49,71.1,Moderate
Desert,142.8,7.2,149.0,7.27,0.3,0.12,47.3,Poor
Alluvial,32.6,130.0,78.6,5.48,1.6,0.91,73.2,Moderate
Laterite,48.2,74.2,196.6,4.28,0.57,3.01,46.6,Poor
Desert,54.3,51.9,43.1,8.65,0.56,0.37,82.8,Healthy
Desert,132.4,135.2,171.4,4.57,2.78,3.14,37.5,Poor
Desert,31.4,25.5,185.0,6.56,0.24,3.18,56.1,Moderate
Alluvial,37.0,31.7,103.4,7.61,2.15,2.67,79.1,Healthy
Black,28.1,47.7,117.3,4.87,2.93,3.75,60.2,Moderate
Desert,113.2,93.2,182.8,8.83,1.87,1.78,60.6,Moderate
Mountain,36.5,149.7,198.9,5.95,2.7,2.8,39.3,Poor
Alluvial,58.2,70.3,166.7,5.61,2.25,0.77,83.7,Healthy
Laterite,126.7,29.5,41.0,4.97,1.53,3.52,78.6,Healthy
Laterite,4.3,117.7,97.3,5.73,0.26,2.91,46.9,Poor
Black,66.2,113.1,164.8,7.61,2.8,2.4,62.3,Moderate
Black,42.0,10.4,146.8,7.82,1.97,1.78,67.2,Moderate
Alluvial,79.3,146.0,21.4,7.96,1.5,1.1,70.2,Moderate
Alluvial,65.7,136.3,17.0,4.08,2.18,3.28,47.0,Poor
Black,137.7,43.1,21.4,3.71,1.24,2.04,54.5,Moderate
Laterite,83.7,103.7,2.4,6.69,0.51,0.49,68.5,Moderate
Alluvial,101.6,124.0,52.0,5.21,0.39,3.66,65.8,Moderate
Red,71.5,43.1,53.0,4.06,2.85,1.19,72.8,Moderate
Desert,58.5,77.2,95.0,4.98,0.99,3.85,76.8,Healthy
Laterite,128.8,89.0,36.6,7.02,1.25,0.68,83.0,Healthy
Alluvial,126.1,49.8,73.5,8.28,1.62,1.49,88.0,Healthy
Black,86.9,86.4,168.7,7.52,2.36,1.27,84.1,Healthy
Red,66.7,95.5,36.2,4.41,1.01,2.99,74.6,Moderate
Desert,64.3,105.9,146.4,7.24,0.55,3.28,74.6,Moderate
Black,64.3,80.9,189.9,4.99,2.61,3.98,54.3,Moderate
Desert,26.8,4.2,73.7,5.69,2.74,1.8,57.8,Moderate
Alluvial,65.7,104.7,150.8,6.8,2.93,0.22,65.2,Moderate
Desert,124.8,87.9,203.3,8.76,2.71,0.01,51.3,Moderate
Mountain,6.8,103.9,181.1,7.01,0.81,3.57,49.7,Poor
Black,106.0,16.5,16.9,5.06,1.68,0.82,80.4,Healthy
Mountain,120.6,52.0,93.6,8.68,2.26,3.18,77.0,Healthy
Red,36.2,34.6,67.3,5.64,0.67,3.19,77.8,Healthy
Red,110.6,51.9,208.8,5.63,0.9,2.31,72.6,Moderate
Red,43.0,28.8,188.0,8.68,1.43,3.0,60.5,Moderate
Desert,95.3,93.0,3.5,8.67,2.29,3.67,52.8,Moderate
Alluvial,92.7,22.6,132.9,8.61,1.8,0.42,84.3,Healthy
Alluvial,121.2,126.0,95.1,5.96,1.86,3.54,76.2,Healthy
Mountain,12.5,43.7,119.3,3.55,0.56,0.67,64.3,Moderate
Desert,39.4,102.9,55.5,6.57,1.02,0.47,85.6,Healthy
Alluvial,117.2,141.9,66.0,8.91,2.04,0.91,66.9,Moderate
Alluvial,0.3,6.3,45.8,7.63,0.86,1.33,65.6,Moderate
Mountain,7.9,69.7,16.2,5.95,0.97,0.3,69.9,Moderate
Desert,104.1,16.3,112.1,5.23,2.02,0.34,90.7,Healthy
Laterite,13.8,30.9,177.5,4.01,2.18,3.37,44.0,Poor
Alluvial,70.5,14.0,110.4,7.25,0.92,0.05,92.9,Healthy
Laterite,15.7,27.7,117.8,4.01,0.64,1.72,66.3,Moderate
Red,58.1,145.7,128.8,7.46,0.35,1.51,71.7,Moderate
Mountain,128.1,102.9,9.6,7.45,1.85,3.88,60.4,Moderate
Alluvial,85.2,42.1,100.9,3.57,2.43,0.01,71.2,Moderate
Alluvial,130.1,36.5,81.2,8.07,0.27,0.99,72.2,Moderate
Laterite,45.6,56.4,20.0,4.24,0.64,3.31,63.7,Moderate
Desert,64.1,69.5,42.1,7.02,0.47,1.12,89.4,Healthy
Alluvial,39.5,50.1,41.2,7.11,0.25,3.85,72.8,Moderate
Red,107.4,111.0,59.2,5.8,2.82,3.5,64.0,Moderate
Alluvial,105.1,98.4,141.9,4.82,2.65,1.91,65.3,Moderate
Red,74.5,74.4,185.4,8.67,2.66,3.88,51.4,Moderate
Alluvial,85.9,9.8,29.0,4.56,2.46,2.9,55.9,Moderate
Desert,93.6,108.7,136.4,5.53,1.51,2.36,80.5,Healthy
Laterite,93.1,83.2,136.2,6.02,0.25,2.73,74.5,Moderate
Mountain,116.6,88.0,35.0,6.17,1.37,0.24,90.0,Healthy
Laterite,143.5,40.2,39.3,8.92,0.32,0.15,58.3,Moderate
Red,15.0,38.9,174.5,3.55,0.82,3.5,48.7,Poor
Laterite,47.1,47.0,51.4,7.29,0.65,2.48,90.3,Healthy
Black,11.2,5.0,162.9,6.21,2.26,3.92,44.5,Poor
Laterite,13.4,1.6,144.8,3.58,2.38,0.31,37.7,Poor
Black,121.3,135.9,196.7,8.71,2.71,1.74,44.6,Poor
Laterite,97.5,101.6,161.0,4.98,0.39,2.09,65.7,Moderate
Black,51.9,29.3,120.5,4.73,2.45,3.64,69.2,Moderate
Mountain,21.7,110.4,165.7,4.37,0.51,1.14,49.4,Poor
Mountain,81.8,72.2,177.4,8.61,0.98,2.83,69.7,Moderate
Alluvial,42.8,54.1,172.0,4.08,0.99,1.06,71.4,Moderate
Red,52.7,6.1,12.2,3.65,1.39,3.66,47.6,Poor
Red,141.7,31.9,87.9,7.82,2.91,0.89,61.5,Moderate
Mountain,12.3,93.3,195.5,6.45,1.66,1.82,52.3,Moderate
Alluvial,85.4,30.4,148.1,4.26,0.21,0.73,70.5,Moderate
Red,105.5,19.0,157.6,6.14,0.82,1.37,79.1,Healthy
Red,15.3,70.8,81.5,6.76,0.84,3.82,72.7,Moderate
Mountain,129.3,77.5,145.5,5.1,2.6,0.58,66.5,Moderate
Laterite,11.4,43.5,154.3,5.12,0.6,3.68,56.6,Moderate
Black,10.9,24.4,2.7,5.47,1.88,0.23,58.4,Moderate
Laterite,22.3,122.6,55.1,6.67,2.26,0.86,66.0,Moderate
Mountain,20.3,95.4,36.1,5.91,1.75,1.89,71.1,Moderate
Laterite,21.5,46.9,132.1,8.89,2.29,2.7,60.5,Moderate
Laterite,63.4,26.0,146.2,4.4,2.75,1.36,69.8,Moderate
Alluvial,69.5,61.8,41.8,6.92,2.9,1.62,79.4,Healthy
Mountain,3.9,146.0,35.3,5.04,1.47,3.69,41.6,Poor
Desert,58.8,129.2,90.6,6.44,1.6,0.98,86.4,Healthy
Desert,57.4,52.7,168.2,8.24,0.42,2.31,62.4,Moderate
Laterite,78.7,18.0,196.1,5.21,0.21,0.75,61.0,Moderate
Laterite,42.0,40.9,47.8,7.51,1.66,3.78,85.7,Healthy
Mountain,67.2,33.2,129.2,8.29,0.6,0.92,83.9,Healthy
Laterite,10.1,127.0,162.2,5.35,1.4,3.62,44.5,Poor
Mountain,105.3,79.8,32.0,4.23,2.74,2.05,67.6,Moderate
Mountain,77.4,96.8,125.4,7.32,2.43,3.4,72.1,Moderate
Red,124.1,86.9,78.3,6.3,2.51,0.37,86.5,Healthy
Laterite,145.7,122.3,106.1,5.42,0.94,0.82,61.0,Moderate
Mountain,40.1,108.2,100.9,4.47,2.79,2.46,53.1,Moderate
Mountain,5.0,73.5,134.6,4.43,2.22,1.16,60.3,Moderate
Mountain,49.4,82.8,85.5,8.73,1.6,0.78,77.5,Healthy
Laterite,96.0,66.2,192.4,6.45,0.35,1.13,75.2,Healthy
Alluvial,12.8,18.8,42.5,5.99,2.15,2.68,66.4,Moderate
Black,149.4,74.8,136.5,6.46,1.69,0.51,70.8,Moderate
Mountain,107.8,100.2,179.5,7.34,0.32,2.17,72.7,Moderate
Black,121.3,103.3,101.0,5.4,1.28,3.73,78.3,Healthy
Alluvial,122.1,9.8,196.3,7.95,2.65,2.69,48.8,Poor
Desert,127.1,82.2,28.0,3.78,2.27,2.2,64.6,Moderate
Alluvial,115.3,93.9,11.8,8.09,1.49,3.72,64.5,Moderate
Mountain,95.1,144.2,61.6,5.51,0.83,1.67,72.9,Moderate
Alluvial,59.0,53.2,90.1,3.59,1.15,3.37,71.0,Moderate
Red,125.4,115.0,140.0,7.08,0.78,3.08,76.7,Healthy
Laterite,16.8,21.4,106.0,8.69,0.2,1.74,59.3,Moderate
Mountain,119.3,70.8,172.5,7.14,1.57,1.77,85.0,Healthy
Red,104.7,87.0,200.4,8.47,1.75,0.01,71.4,Moderate
Desert,149.4,6.6,28.2,8.38,2.01,0.24,51.1,Moderate
Black,149.0,79.4,164.5,8.3,2.9,0.94,47.2,Poor
Desert,51.7,23.8,195.5,3.62,2.93,0.77,53.7,Moderate
Black,10.2,76.3,123.6,6.4,2.24,1.71,70.9,Moderate
Mountain,84.2,136.0,149.5,6.08,2.18,0.22,71.2,Moderate
Red,30.7,9.6,181.3,3.9,0.5,0.26,42.4,Poor
Desert,73.5,77.0,114.9,6.85,1.34,1.1,97.6,Healthy
Alluvial,60.1,79.9,55.6,5.25,2.88,2.79,71.7,Moderate
Desert,65.6,82.5,119.5,6.12,2.12,1.91,93.8,Healthy
Red,65.0,116.7,148.5,7.99,2.62,1.35,62.8,Moderate
Red,50.6,57.3,206.4,3.93,0.69,1.97,58.4,Moderate
Desert,19.6,100.7,87.1,7.32,2.84,0.24,61.7,Moderate
Laterite,39.5,21.9,198.9,6.35,2.34,2.35,62.5,Moderate
Red,133.6,34.6,110.4,8.24,0.6,2.17,67.3,Moderate
Black,78.5,39.8,194.9,6.73,2.93,1.82,74.5,Moderate
Desert,130.4,113.8,181.7,5.25,0.35,0.14,58.0,Moderate
Laterite,0.8,62.3,107.9,8.87,2.15,0.67,60.1,Moderate
Black,16.8,116.2,152.6,8.43,1.24,2.96,52.5,Moderate
Laterite,2.2,78.1,142.3,5.87,1.07,0.77,69.1,Moderate
Laterite,44.2,39.7,52.6,4.12,1.45,3.31,73.7,Moderate
Laterite,148.9,102.2,85.5,8.68,2.12,0.88,54.0,Moderate
Alluvial,57.2,76.3,132.0,7.73,0.12,2.91,72.3,Moderate
Mountain,70.9,57.9,149.8,4.92,1.94,3.46,79.1,Healthy
Desert,149.3,42.8,80.7,5.49,1.78,3.88,59.6,Moderate
Mountain,48.8,85.8,50.2,7.34,1.76,0.73,92.0,Healthy
Mountain,4.4,11.9,122.9,6.08,0.48,0.59,64.8,Moderate
Laterite,3.8,52.6,32.6,6.46,1.35,1.7,69.4,Moderate
Desert,10.6,48.0,82.2,7.1,2.31,0.59,81.0,Healthy
Black,137.5,77.9,154.3,7.56,1.59,0.48,77.3,Healthy
Alluvial,44.8,88.3,50.4,8.01,2.31,2.17,74.6,Moderate
Red,8.1,52.7,31.3,8.58,2.45,3.67,51.2,Moderate
Desert,0.6,131.2,176.8,7.66,0.5,0.75,46.8,Poor
Black,43.4,125.3,133.9,4.55,1.49,3.22,53.0,Moderate
Mountain,123.1,6.7,32.0,7.19,1.23,0.48,80.0,Healthy
Mountain,19.9,106.9,106.3,8.81,0.48,1.77,50.1,Moderate
Black,146.4,36.8,156.7,8.65,1.65,2.07,50.3,Moderate
Mountain,51.7,53.5,82.6,6.61,2.45,2.03,86.5,Healthy
Red,59.1,15.1,29.6,7.27,2.43,1.4,83.9,Healthy
Laterite,85.4,82.3,91.8,6.03,1.6,1.96,88.1,Healthy
Black,143.4,125.5,110.3,7.87,0.41,2.17,56.3,Moderate
Red,41.7,125.0,203.9,8.53,0.7,1.29,47.3,Poor
Red,145.8,108.4,13.2,6.63,1.18,2.71,49.2,Poor
Alluvial,39.7,44.9,147.5,4.92,2.28,2.31,69.4,Moderate
Laterite,43.7,52.8,73.7,4.98,2.7,3.13,69.7,Moderate
Desert,123.6,73.7,75.4,5.21,2.07,3.68,75.8,Healthy
Red,119.8,77.9,156.7,5.04,2.27,0.34,80.3,Healthy
Laterite,103.0,55.5,113.8,8.7,2.35,3.12,70.1,Moderate
Red,61.1,97.6,96.6,3.95,0.3,0.85,64.2,Moderate
Desert,75.0,3.0,66.8,6.04,2.17,0.66,82.4,Healthy
Mountain,57.2,83.0,23.9,5.14,1.12,3.61,70.5,Moderate
Alluvial,122.6,64.7,4.4,4.76,0.71,2.87,67.0,Moderate
Laterite,46.0,7.2,16.1,3.61,0.79,2.94,45.7,Poor
Alluvial,87.1,88.4,2.5,4.35,2.46,2.51,50.0,Moderate
Alluvial,131.3,68.4,64.7,5.93,1.67,1.87,87.0,Healthy
Mountain,97.1,2.7,42.6,4.44,2.22,0.95,65.1,Moderate
Laterite,19.1,44.5,40.3,3.56,1.74,1.97,62.5,Moderate
Desert,33.9,6.1,71.9,6.51,2.15,3.67,57.6,Moderate
Black,45.8,115.3,134.8,6.09,1.86,1.7,75.7,Healthy
Red,76.0,1.8,171.6,3.91,0.58,0.05,55.1,Moderate
Red,135.3,101.0,199.1,6.75,0.28,2.93,45.3,Poor
Mountain,133.6,47.6,143.6,8.46,2.63,2.5,63.7,Moderate
Desert,119.3,95.9,22.0,4.9,1.67,1.81,71.1,Moderate
Desert,56.5,149.0,128.7,7.87,0.22,0.48,63.9,Moderate
Mountain,141.7,116.6,190.8,7.51,0.28,3.94,34.1,Poor
Mountain,2.3,8.8,102.7,6.55,2.77,2.24,54.1,Moderate
Black,40.4,138.5,137.5,4.98,2.47,1.93,55.3,Moderate
Laterite,16.2,88.1,18.6,4.59,2.36,3.31,39.6,Poor
Red,49.3,6.8,51.4,5.32,0.4,0.35,64.4,Moderate
Red,87.9,0.6,140.7,4.4,1.68,2.55,55.1,Moderate
Alluvial,53.2,141.4,160.2,5.05,1.39,0.72,67.6,Moderate
Mountain,132.0,28.6,2.8,4.17,1.09,2.29,58.1,Moderate
Laterite,140.7,87.0,19.5,5.21,2.03,0.88,65.2,Moderate
Mountain,57.8,7.1,47.9,6.46,1.8,3.75,73.1,Moderate
Desert,130.4,32.7,125.7,6.4,0.23,1.89,73.8,Moderate
Black,142.5,55.8,45.4,6.34,0.51,2.02,73.8,Moderate
Laterite,31.4,21.2,59.0,7.38,1.42,0.26,83.9,Healthy
Alluvial,61.8,141.9,44.4,8.6,0.92,3.6,64.0,Moderate
Desert,134.3,91.2,8.4,4.14,0.95,0.62,57.0,Moderate
Mountain,73.9,149.6,145.8,3.67,2.68,2.44,41.4,Poor
Alluvial,80.3,126.5,150.1,8.92,2.29,0.22,54.1,Moderate
Desert,149.5,131.2,20.5,4.25,1.93,1.11,45.1,Poor
Mountain,98.7,9.8,118.4,5.01,1.75,3.11,76.7,Healthy
Mountain,13.7,36.1,78.2,3.95,1.26,3.05,57.2,Moderate
Laterite,84.1,141.8,90.1,8.36,0.91,1.39,69.4,Moderate
Alluvial,46.4,117.2,134.1,5.98,1.22,0.99,77.8,Healthy
Black,88.8,107.8,66.1,4.48,1.15,3.38,72.9,Moderate
